Name,Address,Suburb,Postcode,Phone,Email Address,Fax,LHD,Hospital Website,ED
"Rylstone Multi-Purpose Health Service","Fitzgerald Street","Rylstone","2849","02 6357 8100","","02 6357 8112","Western NSW Local Health District","","Not reporting wait times"
"Sacred Heart Hospice","170 Darlinghurst Road","Darlinghurst ","2010","02 8382 9444","","NULL","St Vincent's Health Network","","No emergency department"
"Scott Memorial Hospital, Scone","Stafford Street","Scone","2337","02 6540 2100","","02 6540 2180","Hunter New England Local Health District","","Not reporting wait times"
"Shellharbour Hospital","15-17 Madigan Boulevarde","Mt Warrigal","2528","02 4295 2500","","02 4295 2497","Illawarra Shoalhaven Local Health District","","Reporting wait times"
"Shoalhaven Hospital","Shoalhaven Street","Nowra","2541","02 4421 3111","","02 4421 4967","Illawarra Shoalhaven Local Health District","","Reporting wait times"
"Singleton District Hospital","Dangar Road","Singleton","2330","02 6571 9222","","02 6571 9282","Hunter New England Local Health District","","Reporting wait times"
"Springwood Hospital","Huntley Grange Road","Springwood","2777","02 4751 0300","","02 4751 0388","Nepean Blue Mountains Local Health District","","No emergency department"
"St Catherines Villa Nursing Home","162-166 Balaclava Road","Eastwood","2122","02 9805 1655","","NULL","Northern Sydney Local Health District","","No emergency department"
"St George Hospital","Belgrave Street","Kogarah","2217","02 9113 1111","","02 9350 3960","South Eastern Sydney Local Health District","","Reporting wait times"
"St John of God Hospital","234 Bourke Street","Goulburn","2580","02 4823 7800","","02 4821 9659","Southern NSW Local Health District","","No emergency department"
"St Joseph's Hospital","Normanby Road","Auburn","2144","02 9649 8941","","02 9649 7092","St Vincent's Health Network","","No emergency department"
"St Vincent's Hospital","390 Victoria Street","Darlinghurst","2010","02 8382 1111","","02 9332 4142","St Vincent's Health Network","","Reporting wait times"
"Sutherland Hospital & Community Health Service","Cnr The Kingsway and Kareena Road ","Caringbah","2229","02 9540 7111","","02 9540 7197","South Eastern Sydney Local Health District","","Reporting wait times"
"Sydney Children's Hospital","High Street","Randwick","2031","02 9382 1111","","02 9382 1451","Sydney Children's Hospitals Specialty Network","","Reporting wait times"
"Sydney Hospital & Sydney Eye Hospital","8 Macquarie Street","Sydney","2001","02 9382 7111","","02 9382 7320","South Eastern Sydney Local Health District","","Reporting wait times"
"Tabulam Residential Aged Care","20 Green Street","Portland","2847","02 6359 2666","","NULL","Nepean Blue Mountains Local Health District","","No emergency department"
"Tamworth Rural Referral Hospital","Dean Street ","Tamworth","2340","02 6767 7700","","02 6766 1027","Hunter New England Local Health District","","Reporting wait times"
"Temora Hospital","169 Temora Young Road","Temora","2666","02 6977 1066","","02 6977 1545","Murrumbidgee Local Health District","","Not reporting wait times"
"Tenterfield Community Hospital","Naas St","Tenterfield","2372","02 6739 5200","","02 6736 2960","Hunter New England Local Health District","","Not reporting wait times"
"The Children's Hospital at Westmead","Cnr Hawkesbury Rd and Hainsworth St","Westmead","2145","02 9845 0000","","02 9845 3489","Sydney Children's Hospitals Specialty Network","","Reporting wait times"
"The Cootamundra Hospital","Mackay Street","Cootamundra","2590","02 6942 0444","","02 6942 0433","Murrumbidgee Local Health District","","Not reporting wait times"
"The Maitland Hospital","550 High St,","Maitland","2320","02 4939 2000","","02 4939 2270","Hunter New England Local Health District","","Reporting wait times"
"The Tweed Hospital","Powell Street","Tweed Heads","2485","07 5536 1133","","07 5506 7411","Northern NSW Local Health District","","Reporting wait times"
"Tingha Multi Purpose Service","13997 Guyra Road","Tingha","2369","02 6723 3266","","02 6723 3509","Hunter New England Local Health District","","Not reporting wait times"
"Tingha Residential Aged Care","13997 Guyra Road","Tingha","2369","02 6723 3266","","NULL","Hunter New England Local Health District","","No emergency department"
"Tocumwal Hospital","Adams Street","Tocomwal","2714","03 5874 2166","","03 5874 2321","Murrumbidgee Local Health District","","Not reporting wait times"
"Tomaree Community Hospital","Trevally Street","Nelson Bay","2315","02 4984 0700","","02 4984 0710","Hunter New England Local Health District","","Not reporting wait times"
"Tottenham Hospital","Umang Street","Tottenham","2873","02 6891 6200","","02 6892 4091","Western NSW Local Health District","","Not reporting wait times"
"Tottenham Residential Aged Care","Umang Street","Tottenham","2873","02 6892 4003","","NULL","Western NSW Local Health District","","No emergency department"
"Trangie Multi-Purpose Health Service","28 Harris Street","Trangie","2823","02 6880 8200","","02 6888 7605","Western NSW Local Health District","","Not reporting wait times"
"Trangie Residential Aged Care","29 Harris Street","Trangie","2823","02 6888 7546","","NULL","Western NSW Local Health District","","No emergency department"
"Trundle Multi-Purpose Service","Brookview Street","Trundle","2875","02 6892 1051","","02 6892 1233","Western NSW Local Health District","","Not reporting wait times"
"Trundle Residential Aged Care","Brookview Street","Trundle","2875","02 6892 1051","","NULL","Western NSW Local Health District","","No emergency department"
"Tullamore Health Service","1 Hinkler Street","Tullamore","2874","02 6892 5003","","02 6892 5166","Western NSW Local Health District","","Not reporting wait times"
"Tullamore Residential Aged Care","1 Hinkler Street","Tullamore","2874","02 6892 5003","","NULL","Western NSW Local Health District","","No emergency department"
"Tumbarumba Multi Purpose Service","Mitchell Street","Tumbarumba","2653","02 6948 9600","","02 6948 2263","Murrumbidgee Local Health District","","Not reporting wait times"
"Tumbarumba Residential Aged Care","4 Mitchell Street","Tumbarumba","2653","02 6948 9600","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Tumut District Hospital","Simpson Street","Tumut","2720","02 6947 0800","","02 6947 3074","Murrumbidgee Local Health District","","Not reporting wait times"
"Urana Health Service","Cnr Church and Princess St","Urana","2645","02 6920 8106","","02 6920 8263","Murrumbidgee Local Health District","","Not reporting wait times"
"Urana Residential Aged Care","Corner of Church and Princess St","Urana","2645","02 6920 8106","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Urbenville Health Service","45 Beaury Street","Urbenville","2475","02 6948 1319","","02 6634 1311","Northern NSW Local Health District","","Not reporting wait times"
"Urbenville Residential Aged Care","45 Beaury Street","Urbenville","2475","02 6948 1319","","NULL","Northern NSW Local Health District","","No emergency department"
"Vegetable Creek Hospital","13-33 Glen Innes Road","Emmaville","2371","02 6734 7900","","02 6734 7990","Hunter New England Local Health District","","Not reporting wait times"
"Wagga Wagga Base Hospital","Docker Street","Wagga Wagga","2650","02 5943 1000","","02 6921 5632","Murrumbidgee Local Health District","","Reporting wait times"
"Walcha Multi Purpose Service","11 South Middle Street","Walcha","2354","02 6774 2366","","02 6777 1458","Hunter New England Local Health District","","Not reporting wait times"
"Walcha Residential Aged Care","South Street","Walcha","2354","02 6774 2400","","NULL","Hunter New England Local Health District","","No emergency department"
"Walgett Health Service","141 Fox Street","Walgett","2832","02 6828 6000","","02 6828 2194","Western NSW Local Health District","","Not reporting wait times"
"Wallsend Aged Care Facility","15 Nash Street","Wallsend","2287","02 4924 6100","","NULL","Hunter New England Local Health District","","No emergency department"
"War Memorial Hospital","125 Birrell Street","Waverley","2024","02 9369 0100","","02 9387 7018","South Eastern Sydney Local Health District","","No emergency department"
"Warialda Multi Purpose Service","Long Street","Warialda","2402","02 6728 9000","","02 6729 1208","Hunter New England Local Health District","","Not reporting wait times"
"Warren Multi-Purpose Health Service","Dr Kater Drive","Warren","2824","02 6847 7200","","02 6847 3099","Western NSW Local Health District","","Not reporting wait times"
"Warren Residential Aged Care","Dr Kater Drive","Warren","2824","02 6847 7200","","NULL","Western NSW Local Health District","","No emergency department"
"Wauchope District Memorial Hospital","69 High Street","Wauchope","2446","02 6585 1300","","02 6585 3741","Mid North Coast Local Health District","","No emergency department"
"Wee Waa Community Hospital","Alma Street","Wee Waa","2388","02 6795 0400","","02 6795 4905","Hunter New England Local Health District","","Not reporting wait times"
"Wellington Health Service","Gisborne Street","Wellington","2820","02 6840 7200","","02 6845 2100","Western NSW Local Health District","","Not reporting wait times"
"Wentworth District Hospital","Silver City Hwy","Wentworth","2648","03 5027 2345","","03 5027 3099","Far West Local Health District","","Not reporting wait times"
"Werris Creek Community Hospital","North Street","Werris Creek","2341","02 6768 6600","","02 6768 7775","Hunter New England Local Health District","","Not reporting wait times"
"Westmead Hospital","Cnr Hawkesbury & Darcy Road","Westmead","2145","02 8890 5555","","02 9845 5000","Western Sydney Local Health District","","Reporting wait times"
"Wilcannia Multi-Purpose Service","14 Ross Street","Wilcannia","2836","08 8083 8777","","08 8091 5839","Far West Local Health District","","Not reporting wait times"
"Wilcannia Residential Age Care","Ross Street","Wilcannia","2836","08 8083 8777","","NULL","Far West Local Health District","","No emergency department"
"Wilson Memorial Community Hospital, Murrurundi","Cnr O'Connell & Paradise Rd","Murrurundi","2338","02 6546 9000","","02 6546 9005","Hunter New England Local Health District","","Not reporting wait times"
"Wingham Community Hospital","32 Bungay Road","Wingham","2429","02 6557 3400","","02 6553 0045","Hunter New England Local Health District","","No emergency department"
"Wollongong Hospital","Loftus Street","Wollongong","2500","02 4222 5000","","02 4222 5313","Illawarra Shoalhaven Local Health District","","Reporting wait times"
"Woy Woy Public Hospital","Ocean Beach Road","Woy Woy","2256","02 4344 8444","","02 4344 8555","Central Coast Local Health District","","No emergency department"
"Wyalong Hospital","70 Ungarie Road","West Wyalong","2671","02 6979 0000","","02 6979 0006","Murrumbidgee Local Health District","","Not reporting wait times"
"Wyong Public Hospital","Pacific Highway","Kanwal","2259","02 4394 8000","","02 4393 8333","Central Coast Local Health District","","Reporting wait times"
"Yass District Hospital","Meehan Street","Yass","2582","(02) 6220 2000","","02 6226 2944","Southern NSW Local Health District","","Not reporting wait times"
"Young District Hospital","Allanan Street","Young","2594","02 6382 8888","","02 6382 4398","Murrumbidgee Local Health District","","Not reporting wait times"
